date,code,weight
2025-07-21,600801,0.1
2025-07-21,600875,0.1
2025-07-21,601868,0.1
2025-07-21,300347,0.1
2025-07-21,601456,0.1
2025-07-21,600276,0.1
2025-07-21,000166,0.1
2025-07-21,600958,0.1
2025-07-21,688236,0.1
2025-07-21,601788,0.1
2025-07-22,600875,0.1
2025-07-22,600801,0.1
2025-07-22,601868,0.1
2025-07-22,601456,0.1
2025-07-22,000166,0.1
2025-07-22,600958,0.1
2025-07-22,600276,0.1
2025-07-22,300347,0.1
2025-07-22,601881,0.1
2025-07-22,601088,0.1
2025-07-23,601456,0.1
2025-07-23,600958,0.1
2025-07-23,000166,0.1
2025-07-23,601881,0.1
2025-07-23,000039,0.1
2025-07-23,601788,0.1
2025-07-23,600875,0.1
2025-07-23,600276,0.1
2025-07-23,601088,0.1
2025-07-23,601066,0.1
2025-07-24,601456,0.1
2025-07-24,000166,0.1
2025-07-24,600958,0.1
2025-07-24,601881,0.1
2025-07-24,000039,0.1
2025-07-24,601788,0.1
2025-07-24,601088,0.1
2025-07-24,601066,0.1
2025-07-24,600875,0.1
2025-07-24,688236,0.1
2025-07-25,601456,0.1
2025-07-25,601881,0.1
2025-07-25,000166,0.1
2025-07-25,600958,0.1
2025-07-25,000039,0.1
2025-07-25,601788,0.1
2025-07-25,600875,0.1
2025-07-25,601066,0.1
2025-07-25,300347,0.1
2025-07-25,000513,0.1
2025-07-28,601456,0.1
2025-07-28,000039,0.1
2025-07-28,600875,0.1
2025-07-28,600276,0.1
2025-07-28,600801,0.1
2025-07-28,601788,0.1
2025-07-28,601881,0.1
2025-07-28,000166,0.1
2025-07-28,000513,0.1
2025-07-28,600958,0.1
2025-07-29,601456,0.1
2025-07-29,000039,0.1
2025-07-29,600808,0.1
2025-07-29,600875,0.1
2025-07-29,600958,0.1
2025-07-29,601881,0.1
2025-07-29,601788,0.1
2025-07-29,000166,0.1
2025-07-29,000513,0.1
2025-07-29,601066,0.1
2025-07-30,000039,0.1
2025-07-30,601456,0.1
2025-07-30,600875,0.1
2025-07-30,601881,0.1
2025-07-30,600958,0.1
2025-07-30,600808,0.1
2025-07-30,601788,0.1
2025-07-30,000513,0.1
2025-07-30,000166,0.1
2025-07-30,600999,0.1
2025-07-31,000039,0.1
2025-07-31,600875,0.1
2025-07-31,688279,0.1
2025-07-31,000513,0.1
2025-07-31,601881,0.1
2025-07-31,600801,0.1
2025-07-31,688385,0.1
