code,date,weight
300927,2025-08-08,0.1
002465,2025-08-08,0.1
300254,2025-08-08,0.1
600730,2025-08-08,0.1
300045,2025-08-08,0.1
001236,2025-08-08,0.1
688276,2025-08-08,0.1
600960,2025-08-08,0.1
601616,2025-08-08,0.1
603272,2025-08-08,0.1
600608,2025-08-11,0.1
301269,2025-08-11,0.1
300927,2025-08-11,0.1
688787,2025-08-11,0.1
300936,2025-08-11,0.1
300254,2025-08-11,0.1
600730,2025-08-11,0.1
300045,2025-08-11,0.1
688206,2025-08-11,0.1
688251,2025-08-11,0.1
301269,2025-08-12,0.1
300927,2025-08-12,0.1
300254,2025-08-12,0.1
600730,2025-08-12,0.1
603023,2025-08-12,0.1
601616,2025-08-12,0.1
603272,2025-08-12,0.1
300227,2025-08-12,0.1
301180,2025-08-12,0.1
300678,2025-08-12,0.1
301269,2025-08-13,0.1
002465,2025-08-13,0.1
300936,2025-08-13,0.1
300254,2025-08-13,0.1
600730,2025-08-13,0.1
688206,2025-08-13,0.1
688433,2025-08-13,0.1
300082,2025-08-13,0.1
601616,2025-08-13,0.1
300227,2025-08-13,0.1
301269,2025-08-14,0.1
002465,2025-08-14,0.1
300936,2025-08-14,0.1
300254,2025-08-14,0.1
600730,2025-08-14,0.1
688433,2025-08-14,0.1
601616,2025-08-14,0.1
300227,2025-08-14,0.1
301180,2025-08-14,0.1
688347,2025-08-14,0.1
002465,2025-08-15,0.1
300936,2025-08-15,0.1
600730,2025-08-15,0.1
300045,2025-08-15,0.1
688206,2025-08-15,0.1
600960,2025-08-15,0.1
300082,2025-08-15,0.1
601616,2025-08-15,0.1
002888,2025-08-15,0.1
300214,2025-08-15,0.1
301269,2025-08-18,0.1
002465,2025-08-18,0.1
300936,2025-08-18,0.1
300254,2025-08-18,0.1
600730,2025-08-18,0.1
688206,2025-08-18,0.1
688251,2025-08-18,0.1
002659,2025-08-18,0.1
600960,2025-08-18,0.1
688433,2025-08-18,0.1
002465,2025-08-19,0.1
688787,2025-08-19,0.1
300936,2025-08-19,0.1
300254,2025-08-19,0.1
600730,2025-08-19,0.1
300045,2025-08-19,0.1
688206,2025-08-19,0.1
600960,2025-08-19,0.1
300676,2025-08-19,0.1
601616,2025-08-19,0.1
002465,2025-08-20,0.1
300936,2025-08-20,0.1
300779,2025-08-20,0.1
300254,2025-08-20,0.1
600730,2025-08-20,0.1
300045,2025-08-20,0.1
688206,2025-08-20,0.1
600960,2025-08-20,0.1
601616,2025-08-20,0.1
002888,2025-08-20,0.1
002465,2025-08-21,0.1
300936,2025-08-21,0.1
300254,2025-08-21,0.1
600730,2025-08-21,0.1
300045,2025-08-21,0.1
688206,2025-08-21,0.1
001236,2025-08-21,0.1
688251,2025-08-21,0.1
600960,2025-08-21,0.1
300082,2025-08-21,0.1
002465,2025-08-22,0.1
688787,2025-08-22,0.1
300254,2025-08-22,0.1
600730,2025-08-22,0.1
688206,2025-08-22,0.1
001236,2025-08-22,0.1
601616,2025-08-22,0.1
002888,2025-08-22,0.1
300214,2025-08-22,0.1
301178,2025-08-22,0.1
301269,2025-08-25,0.1
002465,2025-08-25,0.1
688787,2025-08-25,0.1
300779,2025-08-25,0.1
300254,2025-08-25,0.1
600730,2025-08-25,0.1
300045,2025-08-25,0.1
688206,2025-08-25,0.1
001236,2025-08-25,0.1
688251,2025-08-25,0.1
002465,2025-08-26,0.1
300936,2025-08-26,0.1
300779,2025-08-26,0.1
300254,2025-08-26,0.1
600730,2025-08-26,0.1
300045,2025-08-26,0.1
001236,2025-08-26,0.1
002659,2025-08-26,0.1
300676,2025-08-26,0.1
601616,2025-08-26,0.1
002465,2025-08-27,0.1
300936,2025-08-27,0.1
300779,2025-08-27,0.1
300254,2025-08-27,0.1
600730,2025-08-27,0.1
300045,2025-08-27,0.1
688206,2025-08-27,0.1
001236,2025-08-27,0.1
688251,2025-08-27,0.1
002659,2025-08-27,0.1
