date,code,weight
2025-08-19,603906,0.1
2025-08-19,601456,0.1
2025-08-19,002460,0.1
2025-08-19,601869,0.1
2025-08-19,688180,0.1
2025-08-19,600362,0.1
2025-08-19,601066,0.1
2025-08-19,600196,0.1
2025-08-19,601601,0.1
2025-08-19,600030,0.1
2025-08-20,601869,0.1
2025-08-20,603906,0.1
2025-08-20,600660,0.1
2025-08-20,601456,0.1
2025-08-20,600362,0.1
2025-08-20,601601,0.1
2025-08-20,601066,0.1
2025-08-20,601319,0.1
2025-08-20,688180,0.1
2025-08-20,601766,0.1
2025-08-21,603906,0.1
2025-08-21,600362,0.1
2025-08-21,601066,0.1
2025-08-21,601456,0.1
2025-08-21,601766,0.1
2025-08-21,688180,0.1
2025-08-21,600660,0.1
2025-08-21,601688,0.1
2025-08-21,000513,0.1
2025-08-21,601588,0.1
2025-08-22,603906,0.1
2025-08-22,688180,0.1
2025-08-22,600660,0.1
2025-08-22,601766,0.1
2025-08-22,688279,0.1
2025-08-22,600196,0.1
2025-08-22,600362,0.1
2025-08-22,601066,0.1
2025-08-22,688331,0.1
2025-08-22,000063,0.1
2025-08-25,603906,0.1
2025-08-25,601869,0.1
2025-08-25,688279,0.1
2025-08-25,000063,0.1
2025-08-25,600660,0.1
2025-08-25,601238,0.1
2025-08-25,600196,0.1
2025-08-25,601066,0.1
2025-08-25,688331,0.1
2025-08-25,601088,0.1
2025-08-26,603906,0.1
2025-08-26,600660,0.1
2025-08-26,688331,0.1
2025-08-26,601238,0.1
2025-08-26,688279,0.1
2025-08-26,601766,0.1
2025-08-26,600775,0.1
2025-08-26,600026,0.1
2025-08-26,601298,0.1
2025-08-26,000063,0.1
2025-08-27,603906,0.1
2025-08-27,600660,0.1
2025-08-27,000063,0.1
2025-08-27,600026,0.1
2025-08-27,688331,0.1
2025-08-27,601238,0.1
2025-08-27,601766,0.1
2025-08-27,600362,0.1
2025-08-27,601898,0.1
2025-08-27,600012,0.1
2025-08-28,000063,0.1
2025-08-28,603906,0.1
2025-08-28,688331,0.1
2025-08-28,600775,0.1
2025-08-28,601298,0.1
2025-08-28,600362,0.1
2025-08-28,600547,0.1
2025-08-28,600938,0.1
2025-08-28,601766,0.1
2025-08-28,601238,0.1
2025-08-29,603906,0.1
2025-08-29,688331,0.1
2025-08-29,601298,0.1
2025-08-29,601333,0.1
2025-08-29,600026,0.1
2025-08-29,600362,0.1
2025-08-29,600938,0.1
2025-08-29,000063,0.1
2025-08-29,600956,0.1
2025-08-29,601766,0.1
2025-09-01,600956,0.1
2025-09-01,600362,0.1
2025-09-01,600938,0.1
2025-09-01,688185,0.1
2025-09-01,600196,0.1
2025-09-01,600026,0.1
2025-09-01,601298,0.1
2025-09-01,002865,0.1
2025-09-01,600548,0.1
2025-09-01,000063,0.1
2025-09-02,600548,0.1
2025-09-02,600956,0.1
2025-09-02,600362,0.1
2025-09-02,600196,0.1
2025-09-02,601898,0.1
2025-09-02,600938,0.1
2025-09-02,601658,0.1
2025-09-02,601298,0.1
2025-09-02,601333,0.1
