date,code,weight
2025-07-21,600801,0.1
2025-07-21,601005,0.1
2025-07-21,600875,0.1
2025-07-21,002490,0.1
2025-07-21,601456,0.1
2025-07-21,000166,0.1
2025-07-21,601868,0.1
2025-07-21,002936,0.1
2025-07-21,688428,0.1
2025-07-21,688331,0.1
2025-07-22,601005,0.1
2025-07-22,600875,0.1
2025-07-22,600801,0.1
2025-07-22,000166,0.1
2025-07-22,601456,0.1
2025-07-22,002490,0.1
2025-07-22,600958,0.1
2025-07-22,000898,0.1
2025-07-22,688331,0.1
2025-07-22,002803,0.1
2025-07-23,601005,0.1
2025-07-23,601456,0.1
2025-07-23,000166,0.1
2025-07-23,002490,0.1
2025-07-23,600958,0.1
2025-07-23,688331,0.1
2025-07-23,002803,0.1
2025-07-23,601211,0.1
2025-07-23,000039,0.1
2025-07-23,300750,0.1
2025-07-24,601005,0.1
2025-07-24,601456,0.1
2025-07-24,000166,0.1
2025-07-24,002490,0.1
2025-07-24,600958,0.1
2025-07-24,002803,0.1
2025-07-24,601211,0.1
2025-07-24,688331,0.1
2025-07-24,601881,0.1
2025-07-24,000039,0.1
2025-07-25,601005,0.1
2025-07-25,601456,0.1
2025-07-25,002803,0.1
2025-07-25,002490,0.1
2025-07-25,000166,0.1
2025-07-25,600958,0.1
2025-07-25,002936,0.1
2025-07-25,601881,0.1
2025-07-25,000039,0.1
2025-07-25,601211,0.1
2025-07-28,601005,0.1
2025-07-28,601456,0.1
2025-07-28,002803,0.1
2025-07-28,000166,0.1
2025-07-28,000039,0.1
2025-07-28,600276,0.1
2025-07-28,601211,0.1
2025-07-28,600958,0.1
2025-07-28,601881,0.1
2025-07-28,300750,0.1
2025-07-29,002594,0.1
2025-07-29,601005,0.1
2025-07-29,601456,0.1
2025-07-29,000039,0.1
2025-07-29,002803,0.1
2025-07-29,300750,0.1
2025-07-29,000166,0.1
2025-07-29,601211,0.1
2025-07-29,600958,0.1
2025-07-29,601881,0.1
2025-07-30,002594,0.1
2025-07-30,601005,0.1
2025-07-30,002803,0.1
2025-07-30,601456,0.1
2025-07-30,000039,0.1
2025-07-30,601211,0.1
2025-07-30,000166,0.1
2025-07-30,601881,0.1
2025-07-30,600958,0.1
2025-07-30,300750,0.1
2025-07-31,002594,0.1
2025-07-31,601005,0.1
2025-07-31,000039,0.1
2025-07-31,002803,0.1
2025-07-31,601456,0.1
2025-07-31,601211,0.1
2025-07-31,000166,0.1
2025-07-31,601881,0.1
2025-07-31,300750,0.1
2025-07-31,600958,0.1
2025-08-01,002594,0.1
2025-08-01,601005,0.1
2025-08-01,000039,0.1
2025-08-01,601456,0.1
2025-08-01,601211,0.1
2025-08-01,002803,0.1
2025-08-01,000166,0.1
2025-08-01,601881,0.1
2025-08-01,300750,0.1
2025-08-01,000898,0.1
2025-08-04,002594,0.1
2025-08-04,601005,0.1
2025-08-04,601456,0.1
2025-08-04,002803,0.1
2025-08-04,000039,0.1
2025-08-04,601211,0.1
2025-08-04,000166,0.1
2025-08-04,300750,0.1
2025-08-04,601881,0.1
2025-08-04,000776,0.1
2025-08-05,002594,0.1
2025-08-05,601005,0.1
2025-08-05,601456,0.1
2025-08-05,002803,0.1
2025-08-05,000166,0.1
2025-08-05,601211,0.1
2025-08-05,688180,0.1
2025-08-05,000898,0.1
2025-08-05,000039,0.1
2025-08-05,000776,0.1
2025-08-06,002594,0.1
2025-08-06,601005,0.1
2025-08-06,002803,0.1
2025-08-06,000488,0.1
2025-08-06,601456,0.1
2025-08-06,601211,0.1
2025-08-06,000039,0.1
2025-08-06,000166,0.1
2025-08-06,000898,0.1
2025-08-06,300750,0.1
2025-08-07,002594,0.1
2025-08-07,000488,0.1
2025-08-07,601005,0.1
2025-08-07,000039,0.1
2025-08-07,002803,0.1
2025-08-07,601211,0.1
2025-08-07,000898,0.1
2025-08-07,601869,0.1
2025-08-07,601456,0.1
2025-08-07,300750,0.1
2025-08-08,002594,0.1
2025-08-08,601005,0.1
2025-08-08,000039,0.1
2025-08-08,002803,0.1
2025-08-08,601211,0.1
2025-08-08,601869,0.1
2025-08-08,000488,0.1
2025-08-08,600958,0.1
2025-08-08,601456,0.1
2025-08-08,000898,0.1
2025-08-11,002594,0.1
2025-08-11,000039,0.1
2025-08-11,601005,0.1
2025-08-11,601211,0.1
2025-08-11,601456,0.1
2025-08-11,002460,0.1
2025-08-11,002466,0.1
2025-08-11,000488,0.1
2025-08-11,002803,0.1
2025-08-11,601869,0.1
2025-08-12,002594,0.1
2025-08-12,601005,0.1
2025-08-12,000039,0.1
2025-08-12,601456,0.1
2025-08-12,601211,0.1
2025-08-12,002460,0.1
2025-08-12,601601,0.1
2025-08-12,601869,0.1
2025-08-12,600958,0.1
2025-08-12,601881,0.1
2025-08-13,002594,0.1
2025-08-13,601456,0.1
2025-08-13,601211,0.1
2025-08-13,601869,0.1
2025-08-13,000039,0.1
2025-08-13,002460,0.1
2025-08-13,000166,0.1
2025-08-13,601628,0.1
2025-08-13,601881,0.1
2025-08-13,600958,0.1
2025-08-14,002594,0.1
2025-08-14,601456,0.1
2025-08-14,601869,0.1
2025-08-14,601211,0.1
2025-08-14,601628,0.1
2025-08-14,000039,0.1
2025-08-14,600958,0.1
2025-08-14,601601,0.1
2025-08-14,601618,0.1
2025-08-14,000166,0.1
2025-08-15,002594,0.1
2025-08-15,601456,0.1
2025-08-15,601211,0.1
2025-08-15,601881,0.1
2025-08-15,601869,0.1
2025-08-15,601066,0.1
2025-08-15,000039,0.1
2025-08-15,601618,0.1
2025-08-15,601628,0.1
2025-08-15,600958,0.1
2025-08-18,002594,0.1
2025-08-18,601456,0.1
2025-08-18,601869,0.1
2025-08-18,601881,0.1
2025-08-18,601628,0.1
2025-08-18,601211,0.1
2025-08-18,601601,0.1
2025-08-18,601066,0.1
2025-08-18,000166,0.1
2025-08-18,600958,0.1
2025-08-19,002594,0.1
2025-08-19,601869,0.1
2025-08-19,601456,0.1
2025-08-19,601628,0.1
2025-08-19,601881,0.1
2025-08-19,601618,0.1
2025-08-19,601601,0.1
2025-08-19,601211,0.1
2025-08-19,000039,0.1
2025-08-19,600958,0.1
2025-08-20,601869,0.1
2025-08-20,002594,0.1
2025-08-20,601456,0.1
2025-08-20,601628,0.1
2025-08-20,601601,0.1
2025-08-20,000039,0.1
2025-08-20,601618,0.1
2025-08-20,601881,0.1
2025-08-20,600958,0.1
2025-08-20,601066,0.1
2025-08-21,002594,0.1
2025-08-21,601869,0.1
2025-08-21,601456,0.1
2025-08-21,601601,0.1
2025-08-21,601628,0.1
2025-08-21,000039,0.1
2025-08-21,601881,0.1
2025-08-21,601618,0.1
2025-08-21,601066,0.1
2025-08-21,600958,0.1
2025-08-22,002594,0.1
2025-08-22,601869,0.1
2025-08-22,601628,0.1
2025-08-22,601618,0.1
2025-08-22,688180,0.1
2025-08-22,000039,0.1
2025-08-22,601633,0.1
2025-08-22,601881,0.1
2025-08-22,601456,0.1
2025-08-22,601601,0.1
2025-08-25,601869,0.1
2025-08-25,002594,0.1
2025-08-25,688180,0.1
2025-08-25,601618,0.1
2025-08-25,601628,0.1
2025-08-25,000039,0.1
2025-08-25,601633,0.1
2025-08-25,601088,0.1
2025-08-25,601881,0.1
2025-08-25,600362,0.1
2025-08-26,002594,0.1
2025-08-26,601869,0.1
2025-08-26,601628,0.1
2025-08-26,601633,0.1
2025-08-26,600362,0.1
2025-08-26,000039,0.1
2025-08-26,601618,0.1
2025-08-26,601088,0.1
2025-08-26,601601,0.1
2025-08-26,688180,0.1
2025-08-27,002594,0.1
2025-08-27,601869,0.1
2025-08-27,600362,0.1
2025-08-27,601628,0.1
2025-08-27,601633,0.1
2025-08-27,601088,0.1
2025-08-27,000039,0.1
2025-08-27,601601,0.1
2025-08-27,601238,0.1
2025-08-27,601618,0.1
2025-08-28,002594,0.1
2025-08-28,601869,0.1
2025-08-28,600362,0.1
2025-08-28,601628,0.1
2025-08-28,601633,0.1
2025-08-28,601601,0.1
2025-08-28,601319,0.1
2025-08-28,000039,0.1
2025-08-28,601088,0.1
2025-08-28,601618,0.1
2025-08-29,002594,0.1
2025-08-29,600362,0.1
2025-08-29,601633,0.1
2025-08-29,601088,0.1
2025-08-29,601869,0.1
2025-08-29,601618,0.1
2025-08-29,601628,0.1
2025-08-29,002803,0.1
2025-08-29,601319,0.1
2025-08-29,688331,0.1
2025-09-01,002594,0.1
2025-09-01,600362,0.1
2025-09-01,601633,0.1
2025-09-01,601618,0.1
2025-09-01,002803,0.1
2025-09-01,601319,0.1
2025-09-01,601628,0.1
2025-09-01,601088,0.1
2025-09-01,000488,0.1
2025-09-01,601600,0.1
2025-09-02,002594,0.1
2025-09-02,601633,0.1
2025-09-02,601618,0.1
2025-09-02,600362,0.1
2025-09-02,601319,0.1
2025-09-02,601869,0.1
2025-09-02,002803,0.1
2025-09-02,601088,0.1
2025-09-02,600196,0.1
