date,code,weight
2025-07-21,600875,0.1
2025-07-21,601375,0.1
2025-07-21,000166,0.1
2025-07-21,601456,0.1
2025-07-21,688428,0.1
2025-07-21,600958,0.1
2025-07-21,000513,0.1
2025-07-21,600999,0.1
2025-07-21,601005,0.1
2025-07-21,688236,0.1
2025-07-22,600875,0.1
2025-07-22,688279,0.1
2025-07-22,000513,0.1
2025-07-22,000898,0.1
2025-07-22,002050,0.1
2025-07-22,688236,0.1
2025-07-22,600958,0.1
2025-07-22,000039,0.1
2025-07-22,601628,0.1
2025-07-22,000166,0.1
2025-07-23,600875,0.1
2025-07-23,002050,0.1
2025-07-23,000513,0.1
2025-07-23,000039,0.1
2025-07-23,600958,0.1
2025-07-23,601628,0.1
2025-07-23,688279,0.1
2025-07-23,601881,0.1
2025-07-23,000166,0.1
2025-07-23,300750,0.1
2025-07-24,600875,0.1
2025-07-24,002050,0.1
2025-07-24,601628,0.1
2025-07-24,000039,0.1
2025-07-24,600958,0.1
2025-07-24,601881,0.1
2025-07-24,601456,0.1
2025-07-24,601375,0.1
2025-07-24,000513,0.1
2025-07-24,002460,0.1
2025-07-25,600875,0.1
2025-07-25,601628,0.1
2025-07-25,601881,0.1
2025-07-25,000039,0.1
2025-07-25,002460,0.1
2025-07-25,600958,0.1
2025-07-25,601456,0.1
2025-07-25,600688,0.1
2025-07-25,688981,0.1
2025-07-25,688347,0.1
2025-07-28,600875,0.1
2025-07-28,601628,0.1
2025-07-28,000039,0.1
2025-07-28,300750,0.1
2025-07-28,601881,0.1
2025-07-28,688981,0.1
2025-07-28,600276,0.1
2025-07-28,688180,0.1
2025-07-28,600958,0.1
2025-07-28,000898,0.1
2025-07-29,000039,0.1
2025-07-29,600875,0.1
2025-07-29,601628,0.1
2025-07-29,601881,0.1
2025-07-29,000898,0.1
2025-07-29,000488,0.1
2025-07-29,600688,0.1
2025-07-29,300750,0.1
2025-07-29,600362,0.1
2025-07-29,688180,0.1
2025-07-30,000039,0.1
2025-07-30,000488,0.1
2025-07-30,601628,0.1
2025-07-30,600362,0.1
2025-07-30,601319,0.1
2025-07-30,600012,0.1
2025-07-30,601728,0.1
2025-07-30,601881,0.1
2025-07-30,601186,0.1
2025-07-30,601456,0.1
2025-07-31,000039,0.1
2025-07-31,000488,0.1
2025-07-31,600012,0.1
2025-07-31,601319,0.1
2025-07-31,601628,0.1
2025-07-31,601728,0.1
2025-07-31,601800,0.1
2025-07-31,600011,0.1
2025-07-31,601211,0.1
2025-07-31,601330,0.1
2025-08-01,600012,0.1
2025-08-01,601728,0.1
2025-08-01,000039,0.1
2025-08-01,000488,0.1
2025-08-01,601319,0.1
2025-08-01,601211,0.1
2025-08-01,601991,0.1
2025-08-01,601857,0.1
2025-08-01,600011,0.1
2025-08-01,688981,0.1
2025-08-04,000039,0.1
2025-08-04,600012,0.1
2025-08-04,601728,0.1
2025-08-04,603345,0.1
2025-08-04,600011,0.1
2025-08-04,688981,0.1
2025-08-04,000157,0.1
2025-08-04,300750,0.1
2025-08-04,601211,0.1
2025-08-04,601319,0.1
2025-08-05,688180,0.1
2025-08-05,000488,0.1
2025-08-05,600276,0.1
2025-08-05,300433,0.1
2025-08-05,600012,0.1
2025-08-05,000039,0.1
2025-08-05,000776,0.1
2025-08-05,000898,0.1
2025-08-05,600685,0.1
2025-08-05,601728,0.1
2025-08-06,000488,0.1
2025-08-06,600012,0.1
2025-08-06,600685,0.1
2025-08-06,000039,0.1
2025-08-06,600377,0.1
2025-08-06,003816,0.1
2025-08-06,000776,0.1
2025-08-06,002050,0.1
2025-08-06,603906,0.1
2025-08-06,601991,0.1
2025-08-07,000488,0.1
2025-08-07,600775,0.1
2025-08-07,600012,0.1
2025-08-07,603906,0.1
2025-08-07,600377,0.1
2025-08-07,002050,0.1
2025-08-07,300433,0.1
2025-08-07,601727,0.1
2025-08-07,000776,0.1
2025-08-07,600011,0.1
2025-08-08,000488,0.1
2025-08-08,002936,0.1
2025-08-08,601618,0.1
2025-08-08,688331,0.1
2025-08-08,000157,0.1
2025-08-08,002050,0.1
2025-08-08,603906,0.1
2025-08-08,601727,0.1
2025-08-08,002460,0.1
2025-08-08,601633,0.1
2025-08-11,603906,0.1
2025-08-11,002460,0.1
2025-08-11,601618,0.1
2025-08-11,000488,0.1
2025-08-11,688331,0.1
2025-08-11,688180,0.1
2025-08-11,002936,0.1
2025-08-11,601727,0.1
2025-08-11,688185,0.1
2025-08-11,000157,0.1
2025-08-12,002460,0.1
2025-08-12,603906,0.1
2025-08-12,601618,0.1
2025-08-12,688180,0.1
2025-08-12,601633,0.1
2025-08-12,000488,0.1
2025-08-12,601456,0.1
2025-08-12,002936,0.1
2025-08-12,688331,0.1
2025-08-12,601727,0.1
2025-08-13,002460,0.1
2025-08-13,601618,0.1
2025-08-13,603906,0.1
2025-08-13,688180,0.1
2025-08-13,601456,0.1
2025-08-13,601727,0.1
2025-08-13,600362,0.1
2025-08-13,003816,0.1
2025-08-13,688187,0.1
2025-08-13,000157,0.1
2025-08-14,601618,0.1
2025-08-14,002460,0.1
2025-08-14,603906,0.1
2025-08-14,688187,0.1
2025-08-14,600362,0.1
2025-08-14,002936,0.1
2025-08-14,601633,0.1
2025-08-14,601456,0.1
2025-08-14,600775,0.1
2025-08-14,688331,0.1
2025-08-15,601618,0.1
2025-08-15,603906,0.1
2025-08-15,002460,0.1
2025-08-15,600362,0.1
2025-08-15,601456,0.1
2025-08-15,601633,0.1
2025-08-15,688187,0.1
2025-08-15,601881,0.1
2025-08-15,688180,0.1
2025-08-15,600999,0.1
2025-08-18,603906,0.1
2025-08-18,601618,0.1
2025-08-18,002460,0.1
2025-08-18,601633,0.1
2025-08-18,688180,0.1
2025-08-18,601456,0.1
2025-08-18,601881,0.1
2025-08-18,600362,0.1
2025-08-18,688187,0.1
2025-08-18,600999,0.1
2025-08-19,603906,0.1
2025-08-19,601618,0.1
2025-08-19,601633,0.1
2025-08-19,601456,0.1
2025-08-19,002460,0.1
2025-08-19,688180,0.1
2025-08-19,600362,0.1
2025-08-19,601881,0.1
2025-08-19,600196,0.1
2025-08-19,600030,0.1
2025-08-20,603906,0.1
2025-08-20,600660,0.1
2025-08-20,601456,0.1
2025-08-20,601618,0.1
2025-08-20,601633,0.1
2025-08-20,601628,0.1
2025-08-20,600362,0.1
2025-08-20,601319,0.1
2025-08-20,688180,0.1
2025-08-20,601881,0.1
2025-08-21,603906,0.1
2025-08-21,601633,0.1
2025-08-21,601618,0.1
2025-08-21,688187,0.1
2025-08-21,600362,0.1
2025-08-21,601456,0.1
2025-08-21,601766,0.1
2025-08-21,688180,0.1
2025-08-21,600660,0.1
2025-08-21,601881,0.1
2025-08-22,601633,0.1
2025-08-22,603906,0.1
2025-08-22,688180,0.1
2025-08-22,600660,0.1
2025-08-22,601766,0.1
2025-08-22,688187,0.1
2025-08-22,688279,0.1
2025-08-22,000921,0.1
2025-08-22,601881,0.1
2025-08-22,601618,0.1
2025-08-25,603906,0.1
2025-08-25,688279,0.1
2025-08-25,601633,0.1
2025-08-25,000063,0.1
2025-08-25,600660,0.1
2025-08-25,601238,0.1
2025-08-25,000921,0.1
2025-08-25,002703,0.1
2025-08-25,600196,0.1
2025-08-25,688331,0.1
2025-08-26,603906,0.1
2025-08-26,600660,0.1
2025-08-26,688331,0.1
2025-08-26,601633,0.1
2025-08-26,601238,0.1
2025-08-26,688279,0.1
2025-08-26,601766,0.1
2025-08-26,600775,0.1
2025-08-26,600026,0.1
2025-08-26,688236,0.1
2025-08-27,603906,0.1
2025-08-27,600660,0.1
2025-08-27,000063,0.1
2025-08-27,600026,0.1
2025-08-27,688331,0.1
2025-08-27,601238,0.1
2025-08-27,601766,0.1
2025-08-27,600362,0.1
2025-08-27,601633,0.1
2025-08-27,002948,0.1
2025-08-28,000063,0.1
2025-08-28,603906,0.1
2025-08-28,688331,0.1
2025-08-28,600775,0.1
2025-08-28,601298,0.1
2025-08-28,600362,0.1
2025-08-28,601633,0.1
2025-08-28,601766,0.1
2025-08-28,601238,0.1
2025-08-28,600012,0.1
2025-08-29,601633,0.1
2025-08-29,603906,0.1
2025-08-29,688331,0.1
2025-08-29,601298,0.1
2025-08-29,601333,0.1
2025-08-29,601038,0.1
2025-08-29,600026,0.1
2025-08-29,600362,0.1
2025-08-29,000063,0.1
2025-08-29,600956,0.1
2025-09-01,600956,0.1
2025-09-01,600362,0.1
2025-09-01,688185,0.1
2025-09-01,600196,0.1
2025-09-01,601633,0.1
2025-09-01,600026,0.1
2025-09-01,601298,0.1
2025-09-01,300433,0.1
2025-09-01,601038,0.1
2025-09-01,002865,0.1
2025-09-02,600548,0.1
2025-09-02,300433,0.1
2025-09-02,601633,0.1
2025-09-02,600956,0.1
2025-09-02,600362,0.1
2025-09-02,600196,0.1
2025-09-02,601898,0.1
2025-09-02,601038,0.1
2025-09-02,601658,0.1
2025-09-02,601298,0.1
2025-09-03,600362,0.1
2025-09-03,688236,0.1
2025-09-03,600956,0.1
