date,code,weight
2025-07-21,601005,0.1
2025-07-21,601868,0.1
2025-07-21,688235,0.1
2025-07-21,600958,0.1
2025-07-21,600635,0.1
2025-07-21,300347,0.1
2025-07-21,601628,0.1
2025-07-21,000166,0.1
2025-07-21,600860,0.1
2025-07-21,601881,0.1
2025-07-22,601628,0.1
2025-07-22,002460,0.1
2025-07-22,601881,0.1
2025-07-22,002466,0.1
2025-07-22,600876,0.1
2025-07-22,600958,0.1
2025-07-22,000166,0.1
2025-07-22,600362,0.1
2025-07-22,000039,0.1
2025-07-22,600860,0.1
2025-07-23,600362,0.1
2025-07-23,601628,0.1
2025-07-23,000039,0.1
2025-07-23,601881,0.1
2025-07-23,002460,0.1
2025-07-23,600188,0.1
2025-07-23,600958,0.1
2025-07-23,601066,0.1
2025-07-23,601766,0.1
2025-07-23,601068,0.1
2025-07-24,000488,0.1
2025-07-24,002803,0.1
2025-07-24,002460,0.1
2025-07-24,601628,0.1
2025-07-24,601456,0.1
2025-07-24,000039,0.1
2025-07-24,002466,0.1
2025-07-24,600188,0.1
2025-07-24,600362,0.1
2025-07-24,601881,0.1
2025-07-25,002803,0.1
2025-07-25,601456,0.1
2025-07-25,601111,0.1
2025-07-25,600115,0.1
2025-07-25,601717,0.1
2025-07-25,601066,0.1
2025-07-25,000488,0.1
2025-07-25,601628,0.1
2025-07-25,601319,0.1
2025-07-25,000157,0.1
2025-07-28,688385,0.1
2025-07-28,600276,0.1
2025-07-28,002803,0.1
2025-07-28,000488,0.1
2025-07-28,688180,0.1
2025-07-28,688981,0.1
2025-07-28,601728,0.1
2025-07-28,688347,0.1
2025-07-28,000039,0.1
2025-07-28,601991,0.1
2025-07-29,002594,0.1
2025-07-29,688385,0.1
2025-07-29,000039,0.1
2025-07-29,601728,0.1
2025-07-29,688180,0.1
2025-07-29,688981,0.1
2025-07-29,000157,0.1
2025-07-29,688347,0.1
2025-07-29,601868,0.1
2025-07-29,601811,0.1
2025-07-30,002594,0.1
2025-07-30,000039,0.1
2025-07-30,000488,0.1
2025-07-30,601869,0.1
2025-07-30,300433,0.1
2025-07-30,601728,0.1
2025-07-30,688180,0.1
2025-07-30,600276,0.1
